date;name;high;low;open;last;volume
2018-03-14;A.P. Møller - Mærsk A A/S;16099923;9070;8935;9070;8955;6610
2018-03-15;A.P. Møller - Mærsk A A/S;16099923;9005;8885;8975;8995;6067
2018-03-16;A.P. Møller - Mærsk A A/S;16099923;9190;8950;9000;9160;11223
2018-03-19;A.P. Møller - Mærsk A A/S;16099923;9105;8980;9100;9015;5132
2018-03-20;A.P. Møller - Mærsk A A/S;16099923;9025;8580;9000;8845;12114
2018-03-21;A.P. Møller - Mærsk A A/S;16099923;8995;8865;8890;8910;10151
2018-03-22;A.P. Møller - Mærsk A A/S;16099923;9020;8840;8890;8870;6900
2018-03-23;A.P. Møller - Mærsk A A/S;16099923;8865;8620;8705;8810;7848
2018-03-26;A.P. Møller - Mærsk A A/S;16099923;9010;8880;8890;8910;5103
2018-03-27;A.P. Møller - Mærsk A A/S;16099923;9140;8715;9020;8750;7681
2018-03-28;A.P. Møller - Mærsk A A/S;16099923;8870;8675;8705;8855;6199
2018-04-03;A.P. Møller - Mærsk A A/S;16099923;8825;8700;8800;8740;11949
2018-04-04;A.P. Møller - Mærsk A A/S;16099923;8800;8625;8760;8675;6937
2018-04-05;A.P. Møller - Mærsk A A/S;16099923;8895;8700;8715;8870;7975
2018-04-06;A.P. Møller - Mærsk A A/S;16099923;8840;8750;8825;8810;4657
2018-04-09;A.P. Møller - Mærsk A A/S;16099923;8950;8815;8815;8925;9553
2018-04-10;A.P. Møller - Mærsk A A/S;16099923;8925;8810;8910;8875;9042
2018-04-11;A.P. Møller - Mærsk A A/S;16099923;8815;8705;8720;8770;6660
2018-04-12;A.P. Møller - Mærsk A A/S;16099923;8880;8775;8810;8810;4047
2018-04-13;A.P. Møller - Mærsk A A/S;16099923;8930;8600;8930;8660;9262
2018-04-16;A.P. Møller - Mærsk A A/S;16099923;8710;8490;8655;8520;9412
2018-04-17;A.P. Møller - Mærsk A A/S;16099923;8620;8405;8590;8465;14034
2018-04-18;A.P. Møller - Mærsk A A/S;16099923;8565;8400;8400;8455;1853
2018-04-19;A.P. Møller - Mærsk A A/S;16099923;8775;8465;8490;8700;8876
2018-04-20;A.P. Møller - Mærsk A A/S;16099923;8990;8705;8740;8955;9310
2018-04-23;A.P. Møller - Mærsk A A/S;16099923;9015;8850;8950;8950;5143
2018-04-24;A.P. Møller - Mærsk A A/S;16099923;9000;8880;8975;8960;3495
2018-04-25;A.P. Møller - Mærsk A A/S;16099923;9030;8815;8855;8895;3773
2018-04-26;A.P. Møller - Mærsk A A/S;16099923;9070;8895;8895;9070;4777
2018-04-30;A.P. Møller - Mærsk A A/S;16099923;9465;9290;9445;9465;9458
2018-05-01;A.P. Møller - Mærsk A A/S;16099923;9545;9450;9490;9480;2126
2018-05-02;A.P. Møller - Mærsk A A/S;16099923;9505;9400;9460;9445;6258
2018-05-03;A.P. Møller - Mærsk A A/S;16099923;9465;9320;9400;9390;5211
2018-05-04;A.P. Møller - Mærsk A A/S;16099923;9445;9245;9360;9290;8404
2018-05-07;A.P. Møller - Mærsk A A/S;16099923;9395;9245;9340;9395;2869
2018-05-08;A.P. Møller - Mærsk A A/S;16099923;9865;9375;9445;9830;14747
2018-05-09;A.P. Møller - Mærsk A A/S;16099923;9950;9805;9840;9930;11576
2018-05-14;A.P. Møller - Mærsk A A/S;16099923;10110;9595;9985;9605;13386
2018-05-15;A.P. Møller - Mærsk A A/S;16099923;9695;9515;9585;9605;7174
2018-05-16;A.P. Møller - Mærsk A A/S;16099923;9685;9485;9530;9590;9968
2018-05-17;A.P. Møller - Mærsk A A/S;16099923;9090;8505;9090;8795;23050
2018-05-18;A.P. Møller - Mærsk A A/S;16099923;8975;8545;8975;8635;14589
2018-05-22;A.P. Møller - Mærsk A A/S;16099923;9055;8725;8730;9040;12635
2018-05-23;A.P. Møller - Mærsk A A/S;16099923;9125;8880;8930;9095;8022
2018-05-24;A.P. Møller - Mærsk A A/S;16099923;9215;8885;9125;8900;5981
2018-05-25;A.P. Møller - Mærsk A A/S;16099923;9090;8950;8950;8990;3665
2018-05-28;A.P. Møller - Mærsk A A/S;16099923;9045;8920;9010;8925;3150
2018-05-29;A.P. Møller - Mærsk A A/S;16099923;8905;8760;8815;8855;4514
2018-05-30;A.P. Møller - Mærsk A A/S;16099923;8890;8785;8825;8890;8922
2018-05-31;A.P. Møller - Mærsk A A/S;16099923;9130;8915;8915;8950;11454
2018-06-04;A.P. Møller - Mærsk A A/S;16099923;9490;9350;9410;9365;4418
2018-06-06;A.P. Møller - Mærsk A A/S;16099923;9465;9230;9295;9270;7980
2018-06-07;A.P. Møller - Mærsk A A/S;16099923;9245;9070;9170;9160;7546
2018-06-08;A.P. Møller - Mærsk A A/S;16099923;9130;8970;9090;8990;5720
2018-06-11;A.P. Møller - Mærsk A A/S;16099923;9035;8945;9020;8950;2571
2018-06-12;A.P. Møller - Mærsk A A/S;16099923;9055;8930;9035;9015;4096
2018-06-13;A.P. Møller - Mærsk A A/S;16099923;9200;8985;8985;9190;4470
2018-06-14;A.P. Møller - Mærsk A A/S;16099923;9330;9115;9115;9275;3854
2018-06-15;A.P. Møller - Mærsk A A/S;16099923;9330;9095;9255;9200;12028
2018-06-18;A.P. Møller - Mærsk A A/S;16099923;9105;8830;9050;8880;8341
2018-06-19;A.P. Møller - Mærsk A A/S;16099923;8770;8505;8770;8520;9276
2018-06-20;A.P. Møller - Mærsk A A/S;16099923;8825;8615;8695;8690;6894
2018-06-21;A.P. Møller - Mærsk A A/S;16099923;8755;8605;8755;8610;3944
2018-06-22;A.P. Møller - Mærsk A A/S;16099923;8635;8410;8570;8440;5229
2018-06-25;A.P. Møller - Mærsk A A/S;16099923;8440;8185;8440;8185;10100
2018-06-26;A.P. Møller - Mærsk A A/S;16099923;8235;8015;8235;8035;6362
2018-06-27;A.P. Møller - Mærsk A A/S;16099923;8075;7760;8075;8025;17559
2018-06-28;A.P. Møller - Mærsk A A/S;16099923;8100;7815;7910;7850;6321
2018-06-29;A.P. Møller - Mærsk A A/S;16099923;8020;7275;7900;7575;20484
2018-07-02;A.P. Møller - Mærsk A A/S;16099923;7615;7400;7550;7500;7707
2018-07-03;A.P. Møller - Mærsk A A/S;16099923;7660;7505;7535;7595;7202
2018-07-04;A.P. Møller - Mærsk A A/S;16099923;7645;7550;7625;7595;5170
2018-07-05;A.P. Møller - Mærsk A A/S;16099923;7630;7330;7585;7380;10362
2018-07-06;A.P. Møller - Mærsk A A/S;16099923;7435;7260;7405;7340;5343
2018-07-09;A.P. Møller - Mærsk A A/S;16099923;7735;7405;7465;7575;9567
2018-07-10;A.P. Møller - Mærsk A A/S;16099923;7610;7410;7610;7495;5862
2018-07-11;A.P. Møller - Mærsk A A/S;16099923;7430;7225;7430;7280;6093
2018-07-12;A.P. Møller - Mærsk A A/S;16099923;7645;7400;7495;7480;3585
2018-07-13;A.P. Møller - Mærsk A A/S;16099923;7675;7500;7645;7640;6418
2018-07-16;A.P. Møller - Mærsk A A/S;16099923;7710;7480;7670;7480;3079
2018-07-17;A.P. Møller - Mærsk A A/S;16099923;7685;7555;7560;7685;3902
2018-07-18;A.P. Møller - Mærsk A A/S;16099923;7860;7645;7685;7840;3694
2018-07-19;A.P. Møller - Mærsk A A/S;16099923;8135;7815;7845;8035;6363
2018-07-20;A.P. Møller - Mærsk A A/S;16099923;8100;7895;8045;8100;6148
2018-07-23;A.P. Møller - Mærsk A A/S;16099923;8100;7845;8100;7875;4609
2018-07-24;A.P. Møller - Mærsk A A/S;16099923;8020;7885;7900;7930;6799
2018-07-25;A.P. Møller - Mærsk A A/S;16099923;8090;7885;7890;8070;8489
2018-07-26;A.P. Møller - Mærsk A A/S;16099923;8490;8185;8190;8225;14335
2018-07-27;A.P. Møller - Mærsk A A/S;16099923;8430;8210;8255;8300;3424
2018-07-30;A.P. Møller - Mærsk A A/S;16099923;8320;8225;8320;8255;5144
2018-07-31;A.P. Møller - Mærsk A A/S;16099923;8625;8280;8300;8575;13084
2018-08-01;A.P. Møller - Mærsk A A/S;16099923;8555;8310;8510;8385;5829
2018-08-02;A.P. Møller - Mærsk A A/S;16099923;8300;8190;8300;8200;3042
2018-08-03;A.P. Møller - Mærsk A A/S;16099923;8300;8065;8300;8090;2878
2018-08-06;A.P. Møller - Mærsk A A/S;16099923;8170;7885;8170;7955;4452
2018-08-07;A.P. Møller - Mærsk A A/S;16099923;8400;7410;7885;8400;13610
2018-08-08;A.P. Møller - Mærsk A A/S;16099923;8815;8465;8530;8760;10785
2018-08-09;A.P. Møller - Mærsk A A/S;16099923;8910;8710;8750;8860;6687
2018-08-10;A.P. Møller - Mærsk A A/S;16099923;8830;8430;8830;8510;4341
2018-08-13;A.P. Møller - Mærsk A A/S;16099923;8515;8255;8400;8270;3157
2018-08-14;A.P. Møller - Mærsk A A/S;16099923;8375;8125;8345;8165;3440
2018-08-15;A.P. Møller - Mærsk A A/S;16099923;8205;7965;8205;7995;4008
2018-08-16;A.P. Møller - Mærsk A A/S;16099923;8115;7985;8105;8110;3670
2018-08-17;A.P. Møller - Mærsk A A/S;16099923;8500;8225;8310;8295;7128
2018-08-20;A.P. Møller - Mærsk A A/S;16099923;8560;8300;8350;8480;4572
2018-08-21;A.P. Møller - Mærsk A A/S;16099923;8620;8375;8450;8505;4415
2018-08-22;A.P. Møller - Mærsk A A/S;16099923;8730;8515;8515;8690;5533
2018-08-23;A.P. Møller - Mærsk A A/S;16099923;8720;8565;8645;8595;9499
2018-08-24;A.P. Møller - Mærsk A A/S;16099923;8825;8525;8525;8805;3820
2018-08-27;A.P. Møller - Mærsk A A/S;16099923;9135;8730;8805;9030;8758
2018-08-28;A.P. Møller - Mærsk A A/S;16099923;9385;9025;9100;9385;9087
2018-08-29;A.P. Møller - Mærsk A A/S;16099923;9370;9145;9300;9325;14055
2018-08-30;A.P. Møller - Mærsk A A/S;16099923;9465;9210;9300;9465;6206
2018-08-31;A.P. Møller - Mærsk A A/S;16099923;9425;9245;9340;9245;12368
2018-09-03;A.P. Møller - Mærsk A A/S;16099923;9275;8970;9240;9015;4707
2018-09-04;A.P. Møller - Mærsk A A/S;16099923;9090;8700;9005;8770;11640
2018-09-05;A.P. Møller - Mærsk A A/S;16099923;8795;8515;8775;8555;6599
2018-09-06;A.P. Møller - Mærsk A A/S;16099923;8755;8515;8680;8650;4975
2018-09-07;A.P. Møller - Mærsk A A/S;16099923;8690;8395;8665;8575;6643
2018-09-10;A.P. Møller - Mærsk A A/S;16099923;8625;8440;8465;8510;3906
2018-09-11;A.P. Møller - Mærsk A A/S;16099923;8550;8165;8550;8210;6280
2018-09-12;A.P. Møller - Mærsk A A/S;16099923;8440;8240;8310;8360;2853
2018-09-13;A.P. Møller - Mærsk A A/S;16099923;8570;8425;8465;8480;3058
2018-09-14;A.P. Møller - Mærsk A A/S;16099923;8550;8300;8530;8320;3110
2018-09-17;A.P. Møller - Mærsk A A/S;16099923;8435;8160;8215;8280;1925
2018-09-18;A.P. Møller - Mærsk A A/S;16099923;8590;8280;8300;8575;5202
2018-09-19;A.P. Møller - Mærsk A A/S;16099923;8780;8475;8535;8695;3716
2018-09-20;A.P. Møller - Mærsk A A/S;16099923;8795;8660;8730;8700;3169
2018-09-21;A.P. Møller - Mærsk A A/S;16099923;8975;8785;8800;8815;8446
2018-09-24;A.P. Møller - Mærsk A A/S;16099923;8830;8680;8705;8720;5169
2018-09-25;A.P. Møller - Mærsk A A/S;16099923;8795;8680;8745;8695;3033
2018-09-26;A.P. Møller - Mærsk A A/S;16099923;8685;8580;8685;8600;4228
2018-09-27;A.P. Møller - Mærsk A A/S;16099923;8650;8425;8600;8575;3568
2018-09-28;A.P. Møller - Mærsk A A/S;16099923;8615;8405;8580;8425;6225
2018-10-01;A.P. Møller - Mærsk A A/S;16099923;8675;8405;8405;8460;3197
2018-10-02;A.P. Møller - Mærsk A A/S;16099923;8620;8315;8460;8600;3184
2018-10-03;A.P. Møller - Mærsk A A/S;16099923;8620;8375;8375;8550;1629
2018-10-04;A.P. Møller - Mærsk A A/S;16099923;8530;8215;8530;8255;3569
2018-10-05;A.P. Møller - Mærsk A A/S;16099923;8300;7940;8220;7940;5737
2018-10-08;A.P. Møller - Mærsk A A/S;16099923;7950;7655;7920;7910;4123
2018-10-09;A.P. Møller - Mærsk A A/S;16099923;8070;7895;7920;7990;3101
2018-10-10;A.P. Møller - Mærsk A A/S;16099923;7955;7760;7950;7760;2624
2018-10-11;A.P. Møller - Mærsk A A/S;16099923;7800;7420;7575;7765;3944
2018-10-12;A.P. Møller - Mærsk A A/S;16099923;7945;7745;7760;7845;4607
2018-10-15;A.P. Møller - Mærsk A A/S;16099923;7915;7770;7855;7845;4486
2018-10-16;A.P. Møller - Mærsk A A/S;16099923;8070;7845;7850;8045;4245
2018-10-17;A.P. Møller - Mærsk A A/S;16099923;8100;7780;8095;7895;8622
2018-10-18;A.P. Møller - Mærsk A A/S;16099923;8005;7810;7920;7970;3243
2018-10-19;A.P. Møller - Mærsk A A/S;16099923;7970;7615;7855;7720;10466
2018-10-22;A.P. Møller - Mærsk A A/S;16099923;7900;7605;7780;7670;2888
2018-10-23;A.P. Møller - Mærsk A A/S;16099923;7635;7295;7600;7335;7748
2018-10-24;A.P. Møller - Mærsk A A/S;16099923;7540;7320;7395;7445;4151
2018-10-25;A.P. Møller - Mærsk A A/S;16099923;7595;7285;7300;7460;9740
2018-10-26;A.P. Møller - Mærsk A A/S;16099923;7480;7255;7470;7385;5345
2018-10-29;A.P. Møller - Mærsk A A/S;16099923;7800;7365;7365;7695;5624
2018-10-30;A.P. Møller - Mærsk A A/S;16099923;7695;7390;7695;7550;4142
2018-10-31;A.P. Møller - Mærsk A A/S;16099923;7880;7495;7585;7840;6989
2018-11-01;A.P. Møller - Mærsk A A/S;16099923;8165;7815;7820;8150;6729
2018-11-02;A.P. Møller - Mærsk A A/S;16099923;8425;8150;8275;8270;7369
2018-11-05;A.P. Møller - Mærsk A A/S;16099923;8225;8010;8225;8085;4151
2018-11-06;A.P. Møller - Mærsk A A/S;16099923;8100;7940;8040;7970;5431
2018-11-07;A.P. Møller - Mærsk A A/S;16099923;8175;7865;8050;7945;9197
2018-11-08;A.P. Møller - Mærsk A A/S;16099923;8210;7920;8055;8130;5465
2018-11-09;A.P. Møller - Mærsk A A/S;16099923;8190;7865;8190;8100;4058
2018-11-12;A.P. Møller - Mærsk A A/S;16099923;8265;8075;8185;8105;4064
2018-11-13;A.P. Møller - Mærsk A A/S;16099923;8265;8040;8130;8105;7332
2018-11-14;A.P. Møller - Mærsk A A/S;16099923;8495;7950;8300;8125;8151
2018-11-15;A.P. Møller - Mærsk A A/S;16099923;8210;8035;8155;8050;5854
2018-11-16;A.P. Møller - Mærsk A A/S;16099923;8275;8065;8065;8185;6307
2018-11-19;A.P. Møller - Mærsk A A/S;16099923;8320;8140;8170;8200;7977
2018-11-20;A.P. Møller - Mærsk A A/S;16099923;8135;7845;8135;8055;11975
2018-11-21;A.P. Møller - Mærsk A A/S;16099923;8120;7900;7900;8075;7120
2018-11-22;A.P. Møller - Mærsk A A/S;16099923;8270;8005;8090;8215;5582
2018-11-23;A.P. Møller - Mærsk A A/S;16099923;8300;8100;8100;8295;5618
2018-11-26;A.P. Møller - Mærsk A A/S;16099923;8670;8315;8315;8670;9655
2018-11-27;A.P. Møller - Mærsk A A/S;16099923;8865;8535;8555;8850;9519
2018-11-28;A.P. Møller - Mærsk A A/S;16099923;8970;8815;8875;8915;13305
2018-11-29;A.P. Møller - Mærsk A A/S;16099923;9075;8875;8960;9025;5038
2018-11-30;A.P. Møller - Mærsk A A/S;16099923;9035;8670;9035;8720;14747
2018-12-03;A.P. Møller - Mærsk A A/S;16099923;9200;8880;9020;8915;11928
2018-12-04;A.P. Møller - Mærsk A A/S;16099923;8860;8645;8840;8680;9595
2018-12-05;A.P. Møller - Mærsk A A/S;16099923;8745;8440;8645;8590;6118
2018-12-06;A.P. Møller - Mærsk A A/S;16099923;8500;8090;8480;8205;11202
2018-12-07;A.P. Møller - Mærsk A A/S;16099923;8440;8085;8355;8370;5140
2018-12-10;A.P. Møller - Mærsk A A/S;16099923;8155;8000;8140;8030;6603
2018-12-11;A.P. Møller - Mærsk A A/S;16099923;8345;8025;8060;8295;5632
2018-12-12;A.P. Møller - Mærsk A A/S;16099923;8375;8160;8295;8340;5375
2018-12-13;A.P. Møller - Mærsk A A/S;16099923;8505;8325;8395;8440;3658
2018-12-14;A.P. Møller - Mærsk A A/S;16099923;8425;8180;8425;8335;5729
2018-12-17;A.P. Møller - Mærsk A A/S;16099923;8310;8145;8300;8165;4476
2018-12-18;A.P. Møller - Mærsk A A/S;16099923;8235;8075;8170;8075;7233
2018-12-19;A.P. Møller - Mærsk A A/S;16099923;8075;7920;8050;7985;7869
2018-12-20;A.P. Møller - Mærsk A A/S;16099923;7925;7635;7925;7725;5768
2018-12-21;A.P. Møller - Mærsk A A/S;16099923;7715;7535;7715;7600;10900
2018-12-27;A.P. Møller - Mærsk A A/S;16099923;7725;7460;7590;7460;5419
2018-12-28;A.P. Møller - Mærsk A A/S;16099923;7795;7555;7580;7700;4780
2019-01-02;A.P. Møller - Mærsk A A/S;16099923;7830;7590;7695;7820;3867
2019-01-03;A.P. Møller - Mærsk A A/S;16099923;7860;7655;7845;7690;2894
2019-01-04;A.P. Møller - Mærsk A A/S;16099923;8135;7790;7805;8135;7908
2019-01-07;A.P. Møller - Mærsk A A/S;16099923;8200;7980;8095;8200;4011
2019-01-08;A.P. Møller - Mærsk A A/S;16099923;8435;8135;8135;8260;4866
2019-01-09;A.P. Møller - Mærsk A A/S;16099923;8495;8280;8280;8430;5765
2019-01-10;A.P. Møller - Mærsk A A/S;16099923;8445;8245;8445;8300;8014
2019-01-11;A.P. Møller - Mærsk A A/S;16099923;8370;8140;8315;8175;4046
2019-01-14;A.P. Møller - Mærsk A A/S;16099923;8185;8055;8145;8180;5259
2019-01-15;A.P. Møller - Mærsk A A/S;16099923;8175;8035;8055;8175;6117
2019-01-16;A.P. Møller - Mærsk A A/S;16099923;8330;8145;8200;8220;4215
2019-01-17;A.P. Møller - Mærsk A A/S;16099923;8285;8145;8180;8180;3785
2019-01-18;A.P. Møller - Mærsk A A/S;16099923;8400;8240;8295;8345;5726
2019-01-21;A.P. Møller - Mærsk A A/S;16099923;8500;8335;8370;8375;4337
2019-01-22;A.P. Møller - Mærsk A A/S;16099923;8395;8110;8395;8140;4803
2019-01-23;A.P. Møller - Mærsk A A/S;16099923;8235;8085;8095;8155;8098
2019-01-24;A.P. Møller - Mærsk A A/S;16099923;8155;8030;8155;8080;4191
2019-01-25;A.P. Møller - Mærsk A A/S;16099923;8305;8145;8150;8210;5414
2019-01-28;A.P. Møller - Mærsk A A/S;16099923;8270;8110;8180;8115;4552
2019-01-29;A.P. Møller - Mærsk A A/S;16099923;8185;8100;8130;8160;4637
2019-01-30;A.P. Møller - Mærsk A A/S;16099923;8210;8105;8105;8200;4089
2019-01-31;A.P. Møller - Mærsk A A/S;16099923;8270;8135;8220;8135;5042
2019-02-01;A.P. Møller - Mærsk A A/S;16099923;8265;8135;8200;8195;2931
2019-02-04;A.P. Møller - Mærsk A A/S;16099923;8280;8110;8215;8255;6286
2019-02-05;A.P. Møller - Mærsk A A/S;16099923;8365;8210;8260;8310;5491
2019-02-06;A.P. Møller - Mærsk A A/S;16099923;8460;8250;8275;8250;6538
2019-02-07;A.P. Møller - Mærsk A A/S;16099923;8335;8110;8230;8110;6988
2019-02-08;A.P. Møller - Mærsk A A/S;16099923;8170;7860;8170;7885;7106
2019-02-11;A.P. Møller - Mærsk A A/S;16099923;8025;7900;7925;7935;3337
2019-02-12;A.P. Møller - Mærsk A A/S;16099923;8060;7965;7970;8050;5174
2019-02-13;A.P. Møller - Mærsk A A/S;16099923;8130;7990;8105;8130;4933
2019-02-14;A.P. Møller - Mærsk A A/S;16099923;8405;8145;8250;8400;8672
2019-02-15;A.P. Møller - Mærsk A A/S;16099923;8520;8275;8320;8470;8896
2019-02-18;A.P. Møller - Mærsk A A/S;16099923;8575;8320;8445;8470;4662
2019-02-19;A.P. Møller - Mærsk A A/S;16099923;8600;8365;8490;8600;6343
2019-02-20;A.P. Møller - Mærsk A A/S;16099923;8785;8585;8645;8785;6708
2019-02-21;A.P. Møller - Mærsk A A/S;16099923;8515;7725;8505;7945;30656
2019-02-22;A.P. Møller - Mærsk A A/S;16099923;8395;8010;8100;8345;16624
2019-02-25;A.P. Møller - Mærsk A A/S;16099923;8570;8370;8410;8525;14034
2019-02-26;A.P. Møller - Mærsk A A/S;16099923;8465;8290;8445;8390;4336
2019-02-27;A.P. Møller - Mærsk A A/S;16099923;8485;8305;8390;8365;4102
2019-02-28;A.P. Møller - Mærsk A A/S;16099923;8445;8230;8305;8435;12979
2019-03-01;A.P. Møller - Mærsk A A/S;16099923;8475;8250;8445;8305;9019
2019-03-04;A.P. Møller - Mærsk A A/S;16099923;8485;8325;8405;8430;11863
2019-03-05;A.P. Møller - Mærsk A A/S;16099923;8465;8400;8415;8465;3376
2019-03-06;A.P. Møller - Mærsk A A/S;16099923;8440;8350;8400;8385;3582
2019-03-07;A.P. Møller - Mærsk A A/S;16099923;8435;8120;8390;8165;5874
2019-03-08;A.P. Møller - Mærsk A A/S;16099923;8105;8010;8100;8055;7752
2019-03-11;A.P. Møller - Mærsk A A/S;16099923;8210;8075;8150;8115;2645
2019-03-12;A.P. Møller - Mærsk A A/S;16099923;8195;8085;8195;8175;3571
2019-03-13;A.P. Møller - Mærsk A A/S;16099923;8285;8100;8100;8285;3035
2019-03-14;A.P. Møller - Mærsk A A/S;16099923;8350;8225;8345;8350;7864
2019-03-15;A.P. Møller - Mærsk A A/S;16099923;8360;8235;8310;8315;14763
2019-03-18;A.P. Møller - Mærsk A A/S;16099923;8395;8295;8315;8395;4916
2019-03-19;A.P. Møller - Mærsk A A/S;16099923;8545;8320;8325;8540;9763
